;Hotel;checkIn;checkOut;Estrellas;Ratio;Ratio_descr;Direcciones;Ammenities;Servicios_Principales;lugaresInteres;Transporte;tamanyo;entradaSalida;documentacion;mascotas;internet;aparcamiento;AmmenitiesAlojamiento;AmmenitiesHabitacion;habitaciones
20;Apartamentos Mar y Playa;2022-07-02;2022-07-03;3 estrellas;"8,4
.";"Muy bueno
.";Carrer de Tarragona, s/n, Ciudad de Ibiza, 7800, Ibiza, España;"Piscina
Wifi gratis
Gimnasio
Cocina básica
Aire acondicionado";"Servicios principales
83 apartamentos
Servicio de limpieza diario
En la playa
Restaurante y bar o lounge
Piscina al aire libre
Gimnasio";"En Centro de la ciudad de Ibiza
Playa d'en Bossa: 14 min a pie
Dalt Vila: 15 min a pie
Puerto deportivo Botafoch: 17 min a pie
Puerto de Ibiza: 20 min a pie
Playa de Talamanca: 44 min a pie
Playa Las Salinas: 9,2 km
Paseo de Poniente de San Antonio: 16,7 km
Playa de Caló des Moro: 16,9 km
Playa de Ses Illetes: 29 km";Ibiza (IBZ): 9 min en coche;"83 apartamentos
Tiene 5 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Servicio de cuidado de menores*;No se admiten mascotas;Conexión wifi gratis en las zonas comunes;;;
21;Hotel Gran Sol Ibiza;2022-07-02;2022-07-03;3 estrellas;"9,2
.";"Increíble
.";Calle Soledad 49, Sant Antoni de Portmany, 7820, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Para no fumadores
Aire acondicionado";"Servicios principales
138 habitaciones para no fumadores
Servicio de limpieza diario
Cerca de la playa
Restaurante y bar o lounge
Piscina al aire libre
Desayuno disponible";"En el paseo marítimo
Paseo de Poniente de San Antonio: 8 min a pie
Caló des Moro: 2 min a pie
Playa de Caló des Moro: 2 min a pie
Coves Blanques: 2 min a pie
Passeig de ses Fonts: 10 min a pie
Iglesia de San Antonio: 10 min a pie
Puerto deportivo de Sant Antoni: 11 min a pie
Huevo de Colón: 13 min a pie
Acuario Aquarium Cap Blanc: 13 min a pie
Playa de Cala Gració: 15 min a pie";Ibiza (IBZ): 32 min en coche;"Este alojamiento tiene 138 habitaciones
Este alojamiento tiene 6 plantas";"Hora de entrada: 14:00-0:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";"No se admiten mascotas
Se aceptan animales de servicio";"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Aparcamiento sin asistencia gratuito en las instalaciones
Aparcamiento para coches accesible en silla de ruedas en las instalaciones
Aparcamiento limitado en las instalaciones
Aparcamiento gratuito cercano fuera de las instalaciones";;;
22;Hotel Florencio;2022-07-02;2022-07-03;2 estrellas;"8,0
.";"Muy bueno
.";Carrer Soledat, 38, Sant Antoni de Portmany, 07820, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Para no fumadores
Aire acondicionado";"Servicios principales
89 habitaciones para no fumadores
Servicio de limpieza diario
Bodega
Cerca de la playa
Restaurante y 2 bares con salón
Piscina al aire libre";"Paseo de Poniente de San Antonio: 10 min a pie
Iglesia de San Antonio: 6 min a pie
Caló des Moro: 6 min a pie
Playa de Caló des Moro: 6 min a pie
Puerto deportivo de Sant Antoni: 7 min a pie
Coves Blanques: 7 min a pie
Huevo de Colón: 8 min a pie
Passeig de ses Fonts: 9 min a pie
Playa de S'Arenal: 11 min a pie
Acuario Aquarium Cap Blanc: 17 min a pie
Playa de Cala Gració: 1,5 km";Ibiza (IBZ): 30 min en coche;"Este alojamiento tiene 89 habitaciones
Este alojamiento tiene 4 plantas";"Hora de entrada: 13:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";Aparcamiento sin asistencia gratuito en las instalaciones;;;
23;Hotel Abrat;2022-07-02;2022-07-03;3 estrellas;"9,0
.";"Increíble
.";Carretera de Cala Gració, 5, Sant Antoni de Portmany, 7820, Ibiza, España;"Aparcamiento disponible
Piscina
Wifi gratis
Gimnasio
Para no fumadores
Aire acondicionado";"Servicios principales
147 habitaciones para no fumadores
Servicio de limpieza diario
Cerca de la playa
Restaurante y 2 bares con salón
Terraza en la azotea
Desayuno disponible";"Paseo de Poniente de San Antonio: 8 min a pie
Coves Blanques: 2 min a pie
Caló des Moro: 3 min a pie
Playa de Caló des Moro: 3 min a pie
Acuario Aquarium Cap Blanc: 9 min a pie
Playa de Cala Gració: 11 min a pie
Iglesia de San Antonio: 13 min a pie
Passeig de ses Fonts: 13 min a pie
Puerto deportivo de Sant Antoni: 14 min a pie
Huevo de Colón: 15 min a pie
Playa de S'Arenal: 1,6 km";Ibiza (IBZ): 30 min en coche;"Este alojamiento tiene 147 habitaciones
Este alojamiento tiene 5 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";Aparcamiento sin asistencia cubierto en las instalaciones (10 EUR por día);;;
24;Hotel THB Ocean Beach - Adults Only;2022-07-02;2022-07-03;4 estrellas;"8,8
.";"Fabuloso
.";Carrer de Bellavista, 1, Sant Antoni de Portmany, 7820, Ibiza, España;"Piscina
Wifi gratis
Gimnasio
Aire acondicionado";"Servicios principales
63 habitaciones
Servicio de limpieza diario
Cerca de la playa
Restaurante y bar o lounge
Piscina al aire libre
Desayuno disponible";"En el paseo marítimo
Paseo de Poniente de San Antonio: 24 min a pie
Playa Es Puet: 2 min a pie
Coves Blanques: 3 min a pie
Parque de bolas zorb Air Zone Ibiza: 3 min a pie
Playa de S'Arenal: 4 min a pie
Playa de s'Estanyol: 8 min a pie
Huevo de Colón: 14 min a pie
Puerto deportivo de Sant Antoni: 17 min a pie
Iglesia de San Antonio: 18 min a pie
Playa Pinet: 18 min a pie";"Ibiza (IBZ): 26 min en coche
Servicio de transporte por la zona (de pago)";"Este alojamiento tiene 63 habitaciones
Este alojamiento tiene 4 plantas";"Hora de entrada: 14:00-0:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para alojarse en este alojamiento es de 18 años
La edad mínima para realizar el registro de entrada es de 18 años.";Cunas no disponibles;No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";;;
25;Hotel Tropical;2022-07-02;2022-07-03;3 estrellas;"8,0
.";"Muy bueno
.";C/ Cervantes, 28, Sant Antoni de Portmany, 7820, Ibiza, España;"Aparcamiento disponible
Piscina
Wifi gratis
Gimnasio
Para no fumadores
Aire acondicionado";"Servicios principales
142 habitaciones para no fumadores
Servicio de limpieza diario
Cerca de la playa
Restaurante y bar o lounge
Piscina al aire libre
Desayuno disponible";"En pleno centro de Sant Antoni de Portmany
Paseo de Poniente de San Antonio: 10 min a pie
Monte Sa Talaiassa: 9,6 km
Puerto de Ibiza: 16,8 km
Playa de Talamanca: 17,6 km
Isla de Es Vedrà: 18,6 km";Ibiza (IBZ): 30 min en coche;"Este alojamiento tiene 142 habitaciones
Este alojamiento tiene 5 plantas";"Hora de entrada: 13:00-0:00
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";Aparcamiento gratuito fuera de las instalaciones a 100 m;;;
26;Hotel Cartago - All Inclusive;2022-07-02;2022-07-03;3 estrellas;"8,2
.";"Muy bueno
.";Puerto San Miguel, Sant Joan de Labritja, 7815, Ibiza, España;"Aparcamiento gratis
Piscina
Gimnasio
Para no fumadores
Aire acondicionado";"Servicios principales
196 habitaciones para no fumadores
Servicio de limpieza diario
En la playa
2 restaurantes y 3 bares con salón
Piscina al aire libre
Wifi en el vestíbulo";"En la playa
Port de Sant Miquel: 7 min a pie
Playa de Puerto de San Miguel: 7 min a pie
Cala d'es Motons: 10 min a pie
Cueva de Can Marçà: 11 min a pie
Cala de sa Ferradura: 20 min a pie
Cala Benirràs: 43 min a pie
Playa de Benirrás: 43 min a pie
Iglesia de San Miguel: 4 km
Es Portixol: 9,3 km
Iglesia de San Mateo: 9,8 km";Ibiza (IBZ): 34 min en coche;"196 habitaciones
Tiene 8 plantas";"Hora de entrada: 14:00-0:00
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Club infantil gratuito;No se admiten mascotas;"Conexión a Internet wifi y por cable en las zonas comunes*.
Conexión a Internet wifi en las habitaciones*";;;
27;Parot Apartments;2022-07-02;2022-07-03;3 estrellas;"8,4
.";"Muy bueno
.";Calle San Lorenzo, 12, Santa Eulària des Riu, 7840, Ibiza, España;"Desayuno gratis
Wifi gratis
Cocina
Para no fumadores
Aire acondicionado";;"Puerto deportivo de Santa Eulalia: 4 min a pie
Platja de Santa Eulàlia: 5 min a pie
Museo Etnológico: 8 min a pie
Playa del Rio: 9 min a pie
Palacio de Congresos de Ibiza: 9 min a pie
Puig de Missa: 9 min a pie
Museo Barrau: 10 min a pie
Caló de s'Alga: 22 min a pie
Es Niu Blau: 23 min a pie
Playa de Cala Pada: 40 min a pie
Playa de S'Argamassa: 3,8 km";Ibiza (IBZ): 28 min en coche;"24 apartamentos
Tiene 4 plantas";"Hora de entrada: 12:00-1:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Se ofrece alojamiento gratuito a un máximo de 2 menores, siempre que ocupen la misma habitación que sus padres o tutores, utilizando las camas existentes.;"No se admiten mascotas
Se aceptan animales de servicio";"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";;;
28;Mirador de Dalt Vila – Relais & Chateaux;2022-07-02;2022-07-03;5 estrellas;"9,6
.";"Excepcional
.";Plaza de España, 4, Ciudad de Ibiza, E-07800, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Gimnasio
Para no fumadores
Aire acondicionado";"Servicios principales
15 habitaciones para no fumadores
Servicio de limpieza diario
Cerca de la playa
Restaurante y bar o lounge
Piscina al aire libre
Desayuno disponible";"En Centro de la ciudad de Ibiza
Puerto de Ibiza: 7 min a pie
Playa de Talamanca: 33 min a pie
Playa Las Salinas: 12,9 km
Paseo de Poniente de San Antonio: 17 km";Ibiza (IBZ): 35 min en coche;"Este alojamiento tiene 15 habitaciones
Este alojamiento tiene 3 plantas";"Hora de entrada: 14:00-0:00
Horario del registro de salida: 12:00
Check-in y check-out exprés";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";"Se ofrece alojamiento gratuito a un máximo de 2 menores (de hasta 2 años), siempre que ocupen la misma habitación que sus padres o tutores, utilizando las camas existentes.
Servicio de cuidado de menores*";No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";;;
29;Apartamentos Bossa Bay;2022-07-02;2022-07-03;3 estrellas;"8,4
.";"Muy bueno
.";Carrer Carles Roman Ferrer, 12, Ciudad de Ibiza, 07800, Ibiza, España;"Wifi gratis
Cocina básica
Aire acondicionado";"Servicios principales
Wifi gratis
Ascensor
Cerca de la playa
Aire acondicionado
Comedor separado
Zona de estar separada";"En Ses Figueretes
Playa d'en Bossa: 8 min a pie
Dalt Vila: 24 min a pie
Puerto de Ibiza: 26 min a pie
Illa de ses Rates: 6 min a pie
Baluarte de Sant Pere: 21 min a pie
Paseo Vara de Rey: 21 min a pie
Teatro Pereyra: 23 min a pie
Baluarte de Sant Jaume: 23 min a pie
Puerto deportivo Botafoch: 23 min a pie
Parque infantil Gran Piruleto Park de playa d'en Bossa: 24 min a pie";Ibiza (IBZ): 15 min en coche;;;;;;;;;
30;Agroturismo Can Marquet;2022-07-02;2022-07-03;3 estrellas;"9,2
.";"Increíble
.";Carretera de San Lorenzo, km. 1, Santa Eulària des Riu, 07814, Ibiza, España;"Desayuno gratis
Aparcamiento gratis
Piscina
Wifi gratis
Aire acondicionado";;"Puerto de Ibiza: 11,6 km
Dalt Vila: 13,4 km
Playa de Benirrás: 14,6 km
Mercadillo Las Dalias Hippy Market: 17,6 km";Ibiza (IBZ): 24 min en coche;"9 habitaciones
Tiene 1 planta";"Hora de entrada: 15:00-23:00
Horario del registro de salida: 12:00
Check-out rápido";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para alojarse en este alojamiento es de 18 años
La edad mínima para realizar el registro de entrada es de 18 años.";"No se admiten niños de 18 años o menos
Cunas no disponibles";No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Comida y bebida
Desayuno típico de la región gratuito todos los días
Bar o lounge
Cafetería
Atracciones y actividades
Toallas de playa
Número de piscinas al aire libre: 1
Piscina al aire libre de temporada
Rutas de senderismo/ciclismo en las inmediaciones
Ciclismo de montaña en las inmediaciones
Alquiler de scooters o ciclomotores en las inmediaciones
Tumbonas de piscina
Sombrillas de piscina
Servicios
Recepción (horario limitado)
Asistencia turística y para la compra de entradas
Consigna de equipaje
Servicio de celebración de bodas
Atención multilingüe
Instalaciones
Número de edificios o torres: 1
Año de construcción: 1892
Caja fuerte en la recepción
Espacios para fumadores
Jardín
Área de pícnic
Terraza
Biblioteca
Chimenea en el vestíbulo
Accesibilidad
Aparcamiento accesible en silla de ruedas
Aparcamiento para furgonetas accesible en silla de ruedas
Recepción accesible en silla de ruedas
Restaurante en las instalaciones accesible en silla de ruedas
Lounge accesible en silla de ruedas
Idiomas
Catalán
Español
Francés
Inglés
Italiano";;
31;Apartamentos Malacosta;2022-07-02;2022-07-03;3 estrellas;"8,8
.";"Fabuloso
.";Avda. Pedro Matutes Noguera nº 57, Ciudad de Ibiza, 07800, Ibiza, España;"Wifi gratis
Cocina
Aire acondicionado";;"En Ses Figueretes
Playa d'en Bossa: 7 min a pie
Dalt Vila: 27 min a pie
Puerto de Ibiza: 28 min a pie
Illa de ses Rates: 5 min a pie
Parque infantil Gran Piruleto Park de playa d'en Bossa: 22 min a pie
Baluarte de Sant Pere: 23 min a pie
Paseo Vara de Rey: 23 min a pie
Teatro Pereyra: 25 min a pie
Estadio de fútbol Can Misses: 25 min a pie
Baluarte de Sant Jaume: 25 min a pie";Ibiza (IBZ): 13 min en coche;9 apartamentos;"Hora de entrada: 14:00-15:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";"No se admiten mascotas
Se aceptan animales de servicio";"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";No hay aparcamiento en las instalaciones;;"Comida y bebida
Restaurante
Snack-bar o delicatessen
Atracciones y actividades
Alquiler de bicicletas en las inmediaciones
Submarinismo en las inmediaciones
Servicios
Recepción (horario limitado)
Servicios de conserjería
Asistencia turística y para la compra de entradas
Consigna de equipaje
Instalaciones
Caja fuerte en la recepción
Espacios para fumadores
Terraza
Idiomas
Alemán
Catalán
Español
Francés
Inglés
Italiano";
32;Apartamentos La Kiki;2022-07-02;2022-07-03;3 estrellas;"9,0
.";"Increíble
.";Cala De Bou 5, Sant Antoni de Portmany, 07830, Ibiza, España;"Desayuno gratis
Aparcamiento gratis
Piscina
Wifi gratis
Cocina básica
Aire acondicionado";;"En el paseo marítimo
Paseo de Poniente de San Antonio: 27 min a pie
Coves Blanques: 1 min a pie
Playa Es Puet: 1 min a pie
Playa de s'Estanyol: 4 min a pie
Parque de bolas zorb Air Zone Ibiza: 7 min a pie
Playa de S'Arenal: 7 min a pie
Playa Pinet: 14 min a pie
Huevo de Colón: 18 min a pie
Playa Bella: 20 min a pie
Cala de Bou Beach: 20 min a pie";Ibiza (IBZ): 26 min en coche;;;;;;;;;
33;Cala Llonga Resort;2022-07-02;2022-07-03;3 estrellas;"8,4
.";"Muy bueno
.";Cala Llonga, Santa Eulària des Riu, 07840, España;"Aparcamiento gratis
Piscina
Wifi gratis
Para no fumadores";;"En la playa
Cala Llonga: 7 min a pie
Cala Llonga Beach: 7 min a pie
Sol d'en Serra: 19 min a pie
Caló de s'Alga: 40 min a pie
Playa del Rio: 3,8 km
Club de golf de Ibiza: 3,9 km
Platja de Santa Eulàlia: 4,2 km
Cala Olivera: 4,4 km
Museo Etnológico: 4,6 km
Puig de Missa: 4,7 km";Ibiza (IBZ): 25 min en coche;"Este alojamiento tiene 644 habitaciones
Este alojamiento tiene 8 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";"No se admiten mascotas
Se aceptan animales de servicio";Conexión wifi gratis en las zonas comunes;Aparcamiento sin asistencia gratuito en las instalaciones;"Comida y bebida
Bar o lounge
Cafetería
Bar junto a la piscina
Atracciones y actividades
Zona de juegos en las instalaciones
Alquiler de bicicletas en las inmediaciones
Excursiones de ecoturismo en las inmediaciones
Rutas de senderismo/ciclismo en las inmediaciones
Kayak en las inmediaciones
Ciclismo de montaña en las inmediaciones
Vela en las inmediaciones
Alquiler de scooters o ciclomotores en las inmediaciones
Submarinismo en las inmediaciones
Esnórquel en las inmediaciones
Surf/bodyboard cerca
Servicios
Recepción abierta las 24 horas
Servicios de conserjería
Consigna de equipaje
Atención multilingüe
Instalaciones
Número de edificios o torres: 3
Ascensor
Terraza en la azotea
Jardín
Accesibilidad
Ruta accesible en silla de ruedas hacia el ascensor
Idiomas
Español
Inglés";;
34;Hostal Montaña;2022-07-02;2022-07-03;3 estrellas;"9,0
.";"Increíble
.";Carrer Roma, 8, Sant Antoni de Portmany, 07820, Ibiza, España;"Aparcamiento gratis
Wifi gratis
Para no fumadores
Aire acondicionado";;"Playa de Caló des Moro: 10 min a pie
Paseo de Poniente de San Antonio: 14 min a pie
Playa Cala Bassa: 12 km
Playa de Cala Conta: 13,8 km
Puerto deportivo Botafoch: 16,1 km
Dalt Vila: 16,3 km
Puerto de Ibiza: 16,9 km
Playa de Talamanca: 17,6 km
Playa d'en Bossa: 19,3 km
Playa Figueretas: 20 km";Ibiza (IBZ): 28 min en coche;46 habitaciones;"Hora de inicio del registro de entrada: 13:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Aparcamiento sin asistencia gratuito en las instalaciones
Aparcamiento gratuito cercano fuera de las instalaciones";"Comida y bebida
Bar o lounge
Cafetería
Snack-bar o delicatessen
Servicios
Recepción abierta las 24 horas
Asistencia turística y para la compra de entradas
Consigna de equipaje
Instalaciones
Número de edificios o torres: 1
Ascensor
Caja fuerte en la recepción
Terraza
Idiomas
Catalán
Español
Inglés
Italiano";;
35;Hostal Bellavista;2022-07-02;2022-07-03;3 estrellas;"8,4
.";"Muy bueno
.";Puerto de La Savina, Formentera, 07870, Spain, España;"Wifi gratis
Para no fumadores
Aire acondicionado";;"En La Savina
Playa de Ses Illetes: 39 min a pie
Puerto de La Savina: 4 min a pie
Playa Cavall d'en Borras: 18 min a pie
Punta des Gorrinets: 21 min a pie
Punta de Castellví: 22 min a pie
Sa Guardiola: 26 min a pie
Punta de Sa Torreta: 26 min a pie
Parque natural de Ses Salinas: 27 min a pie
Cala de Bocs Gros: 27 min a pie
Punta de sa Torreta de Tramuntana: 28 min a pie";Ibiza (IBZ): 55 min en coche;40 habitaciones;"Hora de entrada: 14:00-22:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";No hay aparcamiento en las instalaciones;"Comida y bebida
Restaurante
Bar o lounge
Cafetería
Snack-bar o delicatessen
Servicios
Recepción (horario limitado)
Instalaciones
Terraza
Idiomas
Catalán
Español
Inglés
Italiano";;
36;Paraíso de los Pinos;2022-07-02;2022-07-03;3.5 estrellas;"9,4
.";"Excepcional
.";Es Mal Pas - Urb. Paraíso de los Pinos, Formentera, 7860, Formentera, España;"Desayuno gratis
Aparcamiento disponible
Piscina
Wifi gratis
Cocina básica
Aire acondicionado";;"Playa de Migjorn: 7 min a pie
Iglesia de San Francisco Javier: 33 min a pie
Museo Etnológico de Formentera: 34 min a pie
Racó des Vell Marí: 38 min a pie
Racó de s'Ullal: 38 min a pie
Racó de s'Alga: 4,7 km
Playa de Es Pujols: 5 km
Playa de Ses Illetes: 8,9 km
Caló d'en Trull: 6,2 km
Caló de s'Oli: 6,3 km
Puerto de La Savina: 6,7 km";Ibiza (IBZ): 64 min en coche;35 apartamentos;"Hora de entrada: 16:00-0:00
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Servicio de cuidado de menores*;No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";;"Comida y bebida
Desayuno bufé gratuito todos los días
Restaurante
Bar o lounge
Servicio de habitaciones con horario limitado
Atracciones y actividades
Sombrillas de playa
Número de piscinas al aire libre: 1
Tumbonas de piscina
Número de bañeras de hidromasaje: 1
Sombrillas de piscina
Servicios
Recepción abierta las 24 horas
Asistencia turística y para la compra de entradas
Servicio de tintorería/lavandería
Lavandería
Consigna de equipaje
Servicio de celebración de bodas
Atención multilingüe
Instalaciones
Año de construcción: 1973
Caja fuerte en la recepción
Jardín
Terraza
Idiomas
Español
Francés
Inglés
Italiano";
37;Hostal Europa Punico;2022-07-03;2022-07-04;2 estrellas;"8,6
.";"Fabuloso
.";Carrer d'Arago, 28, Ciudad de Ibiza, 07800, Ibiza, España;"Desayuno gratis
Wifi gratis
Zonas para fumadores";"Servicios principales
28 habitaciones
Servicio de limpieza diario
Cerca de la playa
Recepción disponible las 24 horas
Aire acondicionado
Caja fuerte en recepción";"En Centro de la ciudad de Ibiza
Dalt Vila: 5 min a pie
Puerto de Ibiza: 9 min a pie
Playa d'en Bossa: 25 min a pie
Playa de Talamanca: 33 min a pie
Paseo Vara de Rey: 4 min a pie
Puerto deportivo Botafoch: 6 min a pie
Baluarte de Sant Pere: 7 min a pie
Teatro Pereyra: 7 min a pie
Museo de Arte Contemporáneo de Ibiza: 9 min a pie
Baluarte de Sant Jaume: 9 min a pie";Ibiza (IBZ): 14 min en coche;"28 habitaciones
Tiene 4 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 12:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";No hay aparcamiento en las instalaciones;;;"
4
Habitación estándar
Para 2 personas (incluyendo un menor como máximo)
2 camas dobles o 1 sofá cama doble
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
Cancelación gratis
Hasta el 01/07/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
150 €

Detalles del precio
RESERVAR"
38;Hostal Juanita;2022-07-03;2022-07-04;3 estrellas;"8,2
.";"Muy bueno
.";Juan de Austria 17, Ciudad de Ibiza, 07800, Ibiza, España;"Wifi gratis
Bar
Zonas para fumadores";"Servicios principales
35 habitaciones
Servicio de limpieza diario
Cerca de la playa
Bar o lounge
Terraza
Aire acondicionado";"En Centro de la ciudad de Ibiza
Dalt Vila: 3 min a pie
Puerto de Ibiza: 6 min a pie
Playa de Talamanca: 29 min a pie
Playa d'en Bossa: 29 min a pie
Paseo Vara de Rey: 2 min a pie
Puerto deportivo Botafoch: 2 min a pie
Teatro Pereyra: 4 min a pie
Baluarte de Sant Pere: 4 min a pie
Museo de Arte Contemporáneo de Ibiza: 6 min a pie
Monumento a sus Corsarios: 6 min a pie";Ibiza (IBZ): 16 min en coche;"35 habitaciones
Tiene 4 plantas";"Hora de entrada: 16:30-20:30
Horario del registro de salida: 11:30";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Cunas no disponibles;No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";;;"
5
Habitación estándar doble, baño compartido
Para 2 personas (incluyendo un menor como máximo)
2 camas individuales
Más grande que la mayoría de los tipos de habitaciones de este alojamiento
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
Cancelación gratis
Hasta el 02/07/2022
Pagar en el alojamiento
Wifi gratis
Hoteles.com® Rewards
Acumula
Canjea
132 €

Detalles del precio
RESERVAR

4
Habitación doble, 1 cama doble, baño privado
Para 2 personas (incluyendo un menor como máximo)
1 cama doble
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 02/07/2022
Pagar en el alojamiento
Wifi gratis
Hoteles.com® Rewards
Acumula
Canjea
172 €

Detalles del precio
RESERVAR"
